Date,Open,High,Low,Close ,Adj Close ,Volume
2025-05-02,347.22,350.09,346.12,347.6,347.6,6112800
2025-05-01,345.58,345.72,340.12,342.45,342.45,5849900
2025-04-30,334.44,346.52,333.24,345.5,345.5,9526700
2025-04-29,338.5,342.27,336.46,341.52,341.52,5519500
2025-04-28,336.78,339.34,335.02,337.51,337.51,5422900
2025-04-25,334.76,336.37,332.17,335.17,335.17,4452800
2025-04-24,333.28,336.77,331.25,335.71,335.71,8055200
2025-04-23,337.24,341.25,333.2,334.37,334.37,8906000
2025-04-22,323.86,332.56,322.39,331.4,331.4,5435500
2025-04-21,329,329.15,316.65,320.1,320.1,6362300
2025-04-17,331.07,334.32,328.44,329.61,329.61,5655900
2025-04-16,335,337.22,328.86,331.33,331.33,5850600
2025-04-15,336.72,339.39,335,335.81,335.81,4386200
2025-04-14,336.41,339.61,333.14,335.18,335.18,5011800
2025-04-11,324.43,336.98,322.54,333.4,333.4,6804500
2025-04-10,328.02,330.16,313.27,324.61,324.61,8709800
2025-04-09,305.64,334.03,305.64,332.43,332.43,11361800
2025-04-08,322.24,326.28,303.93,308.27,308.27,9569300
2025-04-07,302.07,322.18,299,312.32,312.32,12163400
2025-04-04,330,334.65,312.12,313.13,313.13,13201700
2025-04-03,333.9,344.74,331,339.39,339.39,8792900
2025-04-02,343.44,348.2,343.05,346.33,346.33,5682500
2025-04-01,350.44,350.45,342.57,346.35,346.35,7473300
2025-03-31,339.35,351.86,334.49,350.46,350.46,9950800
2025-03-28,349.19,351.62,341.61,342.85,342.85,5687600
2025-03-27,344,350.84,343.32,349.86,349.86,7254800
2025-03-26,345.99,347.38,343,344.18,344.18,6187100
2025-03-25,344.56,345.53,340.67,344.62,344.62,3931200
2025-03-24,338.65,345.22,337.65,343.87,343.87,5675100
2025-03-21,337.37,339.43,335.52,335.66,335.66,17279700
2025-03-20,339,342.24,337.66,339.5,339.5,5432700
2025-03-19,336.8,341.03,334.5,339.87,339.87,5614900
2025-03-18,335.29,335.8,332.3,334.77,334.77,7778300
2025-03-17,330.03,336.11,329.76,334.55,334.55,6149400
2025-03-14,327.21,332.77,326.38,331.8,331.8,7810600
2025-03-13,330.99,336.2,327.7,328.55,328.55,7915300
2025-03-12,335.97,336.16,329.11,332.84,332.84,6295400
2025-03-11,338.41,339.61,329.58,332.14,332.14,9776100
2025-03-10,339.94,345.01,337.64,341.48,341.48,8204300
2025-03-07,340.87,346.39,339.14,345.32,345.32,6358700
2025-03-06,345.96,348.87,340.39,344.16,344.16,8611100
2025-03-05,350.83,354.11,348.94,352.68,352.68,8244200
2025-03-04,360.11,360.27,350.4,352.23,352.23,8955800
2025-03-03,363,366.54,359.54,361.82,361.82,9099600
2025-02-28,354.71,364,353.71,362.71,362.71,15857300
2025-02-27,351.9,360.31,351.68,355.74,355.74,7298100
2025-02-26,350,351.83,348.99,350.63,350.63,5960600
2025-02-25,351.37,352.59,346,352.09,352.09,6191900
2025-02-24,348.76,350.8,347.36,349.86,349.86,5055900
2025-02-21,350.49,353.32,347.48,348.53,348.53,6924100
2025-02-20,355.23,356.13,349.06,350.49,350.49,5697000
2025-02-19,356.02,357.15,354.18,355.23,355.23,4152300
2025-02-18,353.69,356.74,352.4,356.73,356.73,5822000
2025-02-14,354.43,355.43,353.22,353.81,353.81,5720300
2025-02-13,353.12,356.08,350.73,355.63,355.63,4279200
2025-02-12,349.16,351.83,347.49,351.49,351.49,6760100
2025-02-11,0.59 Dividend,,,,,
2025-02-11,348.3,352.12,346.25,350.72,350.72,5154800
2025-02-10,348.7,351.9,347.7,351.23,350.64,6067000
2025-02-07,348,350.75,347.21,348.02,347.44,4261200
2025-02-06,349.78,350.65,346.6,347.48,346.9,4294500
2025-02-05,346,349.48,345.25,349.44,348.85,4939100
2025-02-04,344.6,346.01,342.54,345.15,344.57,5532600
